Centers,Day,Gender,Age,AverageAttentiontime,Sumofattentiontime,Watchercount
Site1,Day1,Male,Child,1.98,244270.62,123369
Site1,Day1,Male,Young,2.26,754152.96,333696
Site1,Day1,Male,Adult,2.45,522026.4,213072
Site1,Day1,Male,Senior,2.98,163453,54850
Site1,Day1,Female,Child,2.05,263953.9,128758
Site1,Day1,Female,Young,2.32,996811.2,429660
Site1,Day1,Female,Adult,2.51,506174.13,201663
Site1,Day1,Female,Senior,2.73,230128.08,84296
Site1,Day2,Male,Child,1.98,279793.8,141310
Site1,Day2,Male,Young,2.26,665366.6,294410
Site1,Day2,Male,Adult,2.45,512647.8,209244
Site1,Day2,Male,Senior,2.98,204070.4,68480
Site1,Day2,Female,Child,2.05,301550.9,147098
Site1,Day2,Female,Young,2.32,1286987.52,554736
Site1,Day2,Female,Adult,2.51,461518.72,183872
Site1,Day2,Female,Senior,2.73,252366.66,92442
Site1,Day3,Male,Child,1.98,294814.08,148896
Site1,Day3,Male,Young,2.26,737530.66,326341
Site1,Day3,Male,Adult,2.45,639685.2,261096
Site1,Day3,Male,Senior,2.98,223196.04,74898
Site1,Day3,Female,Child,2.05,326237,159140
Site1,Day3,Female,Young,2.32,1332269.28,574254
Site1,Day3,Female,Adult,2.51,570635.95,227345
Site1,Day3,Female,Senior,2.73,292383,107100
Site1,Day4,Male,Child,1.98,341930.16,172692
Site1,Day4,Male,Young,2.26,1037773.92,459192
Site1,Day4,Male,Adult,2.45,876024.45,357561
Site1,Day4,Male,Senior,2.98,292165.16,98042
Site1,Day4,Female,Child,2.05,418958.5,204370
Site1,Day4,Female,Young,2.32,1776261.6,765630
Site1,Day4,Female,Adult,2.51,636365.32,253532
Site1,Day4,Female,Senior,2.73,329980.56,120872
Site1,Day5,Male,Child,1.98,292382.64,147668
Site1,Day5,Male,Young,2.26,779532.76,344926
Site1,Day5,Male,Adult,2.45,600392.1,245058
Site1,Day5,Male,Senior,2.98,197413.08,66246
Site1,Day5,Female,Child,2.05,293683,143260
Site1,Day5,Female,Young,2.32,1215441.04,523897
Site1,Day5,Female,Adult,2.51,616215.04,245504
Site1,Day5,Female,Senior,2.73,271514.88,99456
Site1,Day6,Male,Child,1.98,581417.1,293645
Site1,Day6,Male,Young,2.26,1358549.28,601128
Site1,Day6,Male,Adult,2.45,1217042.4,496752
Site1,Day6,Male,Senior,2.98,390141.6,130920
Site1,Day6,Female,Child,2.05,511204.4,249368
Site1,Day6,Female,Young,2.32,2247462.88,968734
Site1,Day6,Female,Adult,2.51,1029499.09,410159
Site1,Day6,Female,Senior,2.73,443046.24,162288
Site1,Day7,Male,Child,1.98,443153.7,223815
Site1,Day7,Male,Young,2.26,1157169.72,512022
Site1,Day7,Male,Adult,2.45,858813.2,350536
Site1,Day7,Male,Senior,2.98,274100.4,91980
Site1,Day7,Female,Child,2.05,493998.75,240975
Site1,Day7,Female,Young,2.32,1976751.36,852048
Site1,Day7,Female,Adult,2.51,842614.53,335703
Site1,Day7,Female,Senior,2.73,434823.48,159276
Site1,Day8,Male,Child,1.98,269598.78,136161
Site1,Day8,Male,Young,2.26,743833.8,329130
Site1,Day8,Male,Adult,2.45,533159.2,217616
Site1,Day8,Male,Senior,2.98,193929.46,65077
Site1,Day8,Female,Child,2.05,229333.5,111870
Site1,Day8,Female,Young,2.32,899102.08,387544
Site1,Day8,Female,Adult,2.51,456476.13,181863
Site1,Day8,Female,Senior,2.73,208561.08,76396
Site1,Day9,Male,Child,1.98,254311.2,128440
